e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15
-1.7580993,2.0221245,6.718553,4.293478,15.351693,2.5983515,-1.7580993,0.016492292,11.127091,4.7743564,9.717385,8.421915,6.6995945,-1.7580644,2.4958048
-1.7580993,3.8886049,8.408016,5.967158,11.255959,1.8802304,-1.7580993,1.6933398,1.7066041,3.2364995,15.966911,7.5499663,4.008947,-1.7580818,-0.062760934
-1.7580993,1.606575,7.566528,6.9537153,7.8185053,3.2729065,-1.7580993,0.6447948,2.3043225,3.8841844,14.266214,5.304629,8.252075,-1.7580131,-1.1030451
-1.7580993,4.177162,7.0052643,1.7252545,18.079094,4.3854175,-1.7580993,0.551848,0.8993961,6.3155184,7.967885,6.2126245,9.008903,-1.7580972,6.473785
-1.7580988,0.79653615,4.2455645,-1.1544794,14.780723,4.027683,-1.7580993,6.445378,4.1740537,4.316748,5.449047,0.23893315,14.466073,-1.7580415,5.6836205
-1.7580991,3.3513348,3.8881993,2.072068,13.368434,6.472776,-1.7580993,2.9865353,0.2633139,4.652801,7.2154436,1.3561057,9.71568,-1.7579447,6.7222443
-1.7580993,0.2750265,3.5415545,2.8750718,4.303209,2.0347688,-1.7572178,1.5494982,-1.5740582,8.358312,6.946663,-1.0253084,3.4961934,-1.7393444,1.6390036
-1.7580993,3.8185642,-0.52448696,10.484803,9.528994,1.4896895,-1.7580993,1.602698,6.562339,7.0858016,4.82419,1.2584139,6.6456437,-1.7512088,3.312241
-1.7580993,4.0222034,7.688357,2.3918545,2.7913778,1.8931454,-1.7580993,11.529776,9.3710165,10.361558,6.998289,-0.9899792,5.6450315,-1.757381,3.4516633
-1.758098,4.1469083,0.61778176,10.661202,12.004978,3.8396695,-1.7580993,5.177923,-0.6199089,6.8397245,9.164556,6.3439136,5.8458996,-1.7580873,8.108348
-1.7580538,1.4014401,0.7110653,-1.626976,3.496344,0.6366406,-1.7580993,5.923603,-0.26484784,7.110636,4.886845,2.2282593,0.43212426,-1.7323314,3.881992
-1.7580993,5.867488,8.18894,2.8368099,18.634201,1.3545744,-1.7580993,1.896567,0.16538411,9.743561,10.015266,2.8385477,12.076847,-1.7580984,7.9213533
