,cas_number,vapor pressure,temperature,substantivity,percentage
1243,1405-92-1,0.00013,25.0,400.0,100.0
1245,19870-74-7,0.013,25.0,124.0,100.0
1254,77-54-3,0.002,25.0,400.0,100.0
1256,39900-38-4,0.001,25.0,156.0,100.0
1257,67874-81-1,0.013,25.0,124.0,100.0
1260,3720-16-9,0.063,25.0,48.0,100.0
1271,71566-53-5,0.005,25.0,44.0,100.0
1288,68419-46-5,0.19,25.0,16.0,100.0
1292,6297-41-2,0.413,25.0,4.0,100.0
1316,39067-39-5,0.057,25.0,124.0,100.0
1319,69929-17-5,0.014,25.0,56.0,100.0
1333,104-55-2,0.0265,25.0,212.0,100.0
1338,4364-06-1,0.017,25.0,96.0,100.0
1393,21040-45-9,0.009,25.0,124.0,100.0
1396,104-54-1,0.012,25.0,371.0,100.0
1397,4407-36-7,0.012,25.0,400.0,100.0
1400,103-61-7,0.001,25.0,400.0,100.0
1401,78761-39-4,0.001,25.0,152.0,100.0
1409,1885-38-7,0.023,25.0,84.0,100.0
1413,78761-38-3,0.001,25.0,184.0,100.0
1416,69121-78-4,0.00026,25.0,100.0,100.0
1417,140-27-2,0.00026,25.0,100.0,100.0
1448,7492-66-2,0.005,25.0,32.0,100.0
1451,66408-78-4,0.029,25.0,12.0,100.0
1459,8000-29-1,0.1,25.0,28.0,100.0
1461,8000-29-1,0.15,25.0,28.0,100.0
1464,8000-29-1,0.1,25.0,28.0,100.0
1468,106-23-0,0.28,25.0,16.0,100.0
1479,106-22-9,0.02,25.0,56.0,100.0
1481,7540-51-4,0.018,25.0,56.0,100.0
1499,105-85-1,0.03,25.0,40.0,100.0
1511,7492-67-3,0.01,25.0,356.0,100.0
1519,20770-40-5,0.00049,25.0,0.5,100.0
1554,37677-14-8,0.006,25.0,244.0,100.0
1585,8008-56-8,0.95,25.0,4.0,100.0
1596,53243-60-0,0.001,25.0,212.0,100.0
1602,78-69-3,0.32,25.0,12.0,100.0
1611,15760-18-6,0.005,25.0,198.0,100.0
1672,629-63-0,0.001,25.0,308.0,100.0
1696,4411-89-6,0.006,25.0,0.5,100.0
1759,67874-72-0,0.04,25.0,16.0,100.0
1813,25524-95-2,0.004,25.0,36.0,100.0
1814,108-39-4,0.11,25.0,43.0,100.0
1840,55066-56-3,0.011,25.0,40.0,100.0
1866,122-03-2,0.065,25.0,32.0,100.0
1871,7775-00-0,0.018,25.0,0.5,100.0
1873,536-60-7,0.012,25.0,68.0,100.0
1874,13816-33-6,0.062,25.0,0.5,100.0
1912,103-95-7,0.009,25.0,72.0,100.0
1913,6658-48-6,0.003,25.0,336.0,100.0
1919,18127-01-0,0.009,25.0,104.0,100.0
1922,67634-07-5,0.291,25.0,4.0,100.0
1924,432-25-7,0.176,25.0,85.0,100.0
1925,472-66-2,0.032,25.0,39.0,100.0
1926,1335-66-6,0.25,25.0,16.0,100.0
1930,68527-77-5,0.046,25.0,76.0,100.0
1936,765-87-7,0.452,25.0,0.5,100.0
1954,90-42-6,0.01,25.0,44.0,100.0
1958,21722-83-8,0.152,25.0,32.0,100.0
1959,4442-79-9,0.051,25.0,24.0,100.0
1967,5442-00-2,0.037,25.0,12.0,100.0
1970,25485-88-5,0.00017,25.0,400.0,100.0
1983,765-70-8,0.978,25.0,16.0,100.0
2041,43052-87-5,0.008,25.0,66.0,100.0
2042,24720-09-0,0.008,25.0,64.0,100.0
2044,35044-68-9,0.007,25.0,191.0,100.0
2045,23726-91-2,0.007,25.0,264.0,100.0
2047,57378-68-4,0.01,25.0,220.0,100.0
2048,35087-49-1,0.008,25.0,64.0,100.0
2050,81752-87-6,0.146,25.0,0.5,100.0
2060,14507-02-9,0.00334,25.0,0.5,100.0
2061,18409-21-7,0.008,25.0,0.5,100.0
2074,18436-37-8,0.009,25.0,168.0,100.0
2077,706-14-9,0.00512,25.0,256.0,100.0
2079,10519-11-6,0.02,25.0,140.0,100.0
2080,10519-12-7,0.018,25.0,68.0,100.0
2083,112-31-2,0.207,25.0,224.0,100.0
2085,7779-41-1,0.091,25.0,0.5,100.0
2093,112-30-1,0.00851,25.0,104.0,100.0
2096,693-54-9,0.248,25.0,0.5,100.0
2099,3913-81-3,0.078,25.0,0.5,100.0
2101,65405-70-1,0.119,25.0,296.0,100.0
2105,21661-97-2,0.119,25.0,0.5,100.0
2111,14436-32-9,0.018,25.0,336.0,100.0
2112,22104-80-9,0.013,25.0,264.0,100.0
2115,57074-37-0,0.00474,25.0,0.5,100.0
2118,51100-54-0,0.041,25.0,0.5,100.0
2121,10519-33-2,0.308,25.0,0.5,100.0
2124,68133-79-9,0.001,25.0,216.0,100.0
2127,112-17-4,0.031,25.0,39.0,100.0
2128,69103-24-8,0.061,25.0,16.0,100.0
2139,7289-52-3,0.219,25.0,12.0,100.0
2143,765-05-9,0.09,25.0,4.0,100.0
2156,68480-06-8,0.004,25.0,64.0,100.0
2160,5595-79-9,0.003,25.0,400.0,100.0
2162,103-50-4,0.00103,25.0,400.0,100.0
2165,109-43-3,6e-06,25.0,400.0,100.0
2180,68845-36-3,0.014,25.0,24.0,100.0
2185,105-53-3,0.269,25.0,4.0,100.0
2187,996-97-4,0.013,25.0,68.0,100.0
